Event,Description,Event Start Year,Default Value ,Appointments,Domestic,Elections,Foreign Policy,Economic,Justice,Military,Misc
Harmar Campaign,"Presides as the Northwestern Confederation throttles US forces in a series of battles during the Harmar Campaign in late 1790, devestating the new country. Harmar, who had been in command of the war since the beginning, is relieved as Senior General for Arthur St. Clair. ",1790,10,,,,,,,X,
Battle of Wabash,Presides as new Senior General Arthur St. Clair in 1791 suffers almost 80% casualties (60% killed) in the worst defeat ever of US troops by Native American forces.. Washington replaces St. Clair with Mad Anthony Wayne following this defeat. ,1791,10,,,,,,,X,
Battle of Fallen Timbers,"Presides as Mad Anthony Wayne crushes the Native American Confederation forces in 1794, soon resulting in the end of the Northwest Indian War.",1794,10,,,,,,,X,
Treaty of Greenville,"In 1795, following US victory, the Northwest Confederacy agreed to relinquish 2/3 of Ohio as well as strategic points of what are now called Detroit, Chicago, Fort Wayne, and Toledo. ",1795,25,,X,,X,,,X,
Whiskey Tax,"Signs Whiskey Tax in 1791 to generate revenue to help pay off Rev War debt, but it results in a violent tax protest",1791,5,,,,,X,,,
Quells Whiskey Rebellion,"Begun in 1791, it does not end until Washington personally leads a militia into Pennsylvania in 1794. The rebellion scatters and Washington pardons the leaders. The Whiskey Tax stays in place. ",1791,5,,X,,,,,X,
Pardons the leaders of the Whiskey Rebellion,"Washington pardoned the leader of the Whiskey Rebellion, possibly because punishing them might have emboldened future rebellions. Nevertheless, the rebellion was mostly bloodless and the pardoning avoided a precedence of our government brutally crushing opposition, although we've had our moments. ",1794,5,,,,,,x,,
Treaty of New York,"In 1790, Sec of War Knox negotiated a treaty with Creek tribes in Georgia. The tribes received money, supplies, permission to punish tresspassers on their remaining lands which would be recognized as Creek land by the US, in exchange for ceding some of their land and agreeing to turn in escaped slaves. The treaty proved unenforcable because the federal government lacked the manpower to enforce it. As such, both sides routinely broke the treaty. ",1790,3,,X,,X,,,,
Samuel Osgood at Postmaster General,"The PM Gen was not yet cabinet-level, but Osgood is remembered for three things. 1) When the capital was in NYC, Osgood gave up his own mansion for Washington to use as the executive mansion. 2) When making Baltimore a regional postmaster center, he forced Mary Goddard, a rare woman postmaster, to resign her office so that a man could take over. 3) He resigned when the capital moved to Philadelphia, not wanting to make the move. ",1789,1,X,,,,,X,,
Restraint with Veto,"Washington set a precedence (broken by Jackson) of vetoing bills only if they seems unconstitutional. He admitted to signing bills he disagreed with, believing his job was to execute that which Congress passed. ",1789,3,,,,,,,,X
